year;director;genre;film;winner
1955;Alfred Hitchcock;;Rear Window;FALSE
1955;Billy Wilder;;Sabrina;FALSE
1956;John Sturges;;Bad Day at Black Rock;FALSE
1956;Elia Kazan;;East of Eden;FALSE
1956;Delbert Mann;;Marty;TRUE
1956;Joshua Logan;;Picnic;FALSE
1956;David Lean;;Summertime;FALSE
1957;Michael Anderson;;Around the World in 80 Days;FALSE
1957;William Wyler;;Friendly Persuasion;FALSE
1957;George Stevens;;Giant;TRUE
1957;Walter Lang;;The King and I;FALSE
1957;King Vidor;;War and Peace;FALSE
1958;David Lean;;The Bridge on the River Kwai;TRUE
1958;Mark Robson;;Peyton Place;FALSE
1958;Joshua Logan;;Sayonara;FALSE
1958;Sidney Lumet;;12 Angry Men;FALSE
1958;Billy Wilder;;Witness for the Prosecution;FALSE
1959;Richard Brooks;;Cat on a Hot Tin Roof;FALSE
1959;Stanley Kramer;;The Defiant Ones;FALSE
1959;Vincente Minnelli;;Gigi;TRUE
1959;Robert Wise;;I Want to Live!;FALSE
1959;Mark Robson;;The Inn of the Sixth Happiness;FALSE
1960;William Wyler;;Ben-Hur;TRUE
1960;George Stevens;;The Diary of Anne Frank;FALSE
1960;Fred Zinnemann;;The Nun's Story;FALSE
1960;Jack Clayton;;Room at the Top;FALSE
1960;Billy Wilder;;Some Like It Hot;FALSE
1961;Billy Wilder;;The Apartment;TRUE
1961;Jules Dassin;;Never on Sunday;FALSE
1961;Alfred Hitchcock;;Psycho;FALSE
1961;Jack Cardiff;;Sons and Lovers;FALSE
1961;Fred Zinnemann;;The Sundowners;FALSE
1962;J. Lee Thompson;;The Guns of Navarone;FALSE
1962;Robert Rossen;;The Hustler;FALSE
1962;Stanley Kramer;;Judgment at Nuremberg;FALSE
1962;Federico Fellini;;La Dolce Vita;FALSE
1962;Robert Wise, Jerome Robbins;;West Side Story;TRUE
1963;Frank Perry;;David and Lisa;FALSE
1963;Pietro Germi;;Divorce--Italian Style;FALSE
1963;David Lean;;Lawrence of Arabia;TRUE
1963;Arthur Penn;;The Miracle Worker;FALSE
